Provinsi,2015,2016,2017,2018
DI. ACEH,39.50,42.83,40.42,40.77
SUMATERA UTARA,39.86,40.02,42.00,43.28
SUMATERA BARAT,35.59,38.20,35.61,35.48
RIAU,51.36,46.37,47.30,45.30
JAMBI,41.35,37.91,41.47,44.13
SUMATERA SELATAN,38.69,39.29,37.60,38.76
BENGKULU,31.19,34.08,33.61,31.83
LAMPUNG,29.17,29.90,29.71,29.20
BANGKA BELITUNG,45.87,44.43,51.62,50.12
KEPULAUAN RIAU,71.90,66.20,68.51,67.14
DKI JAKARTA,72.96,68.71,71.55,69.82
JAWA BARAT,49.61,51.36,50.22,51.78
JAWA TENGAH,38.28,37.83,39.71,39.06
DAERAH ISTIMEWA YOGYAKARTA,48.79,45.09,43.45,45.59
JAWA TIMUR,36.81,37.88,38.65,38.08
BANTEN,61.46,61.51,58.07,56.92
BALI,47.20,45.68,50.20,50.37
NUSATENGGARA BARAT,26.80,26.89,26.38,28.22
NUSA TENGGARA TIMUR,21.40,25.20,24.14,23.96
KALIMANTAN BARAT,34.44,38.19,38.57,40.52
KALIMANTAN TENGAH,45.56,41.35,45.67,48.61
KALIMANTAN SELATAN,41.48,37.81,38.98,40.71
KALIMANTAN TIMUR,60.34,55.25,59.96,59.91
KALIMANTAN UTARA,56.82,56.98,57.76,57.83
SULAWESI UTARA,40.45,38.68,44.54,44.67
SULAWESI TENGAH,33.37,33.55,31.94,33.36
SULAWESI SELATAN,36.95,35.11,37.63,36.99
SULAWESI TENGGARA,30.48,31.47,36.29,37.01
GORONTALO,37.14,39.69,39.49,38.74
SULAWESI BARAT,26.32,29.85,31.58,25.53
MALUKU,31.98,35.76,37.18,35.87
MALUKU UTARA,31.40,35.97,38.05,33.24
PAPUA BARAT,39.45,40.57,40.90,46.16
PAPUA,18.51,21.63,21.81,22.37
